origin_x,origin_y,height,aspect,slope,label
440345.93409065274,4397532.697626984,"[20617, 20577, 20558, 20601, 20581, 20551, 20594, 20578, 20549]","[136.49759, 125.403076, 127.29251, 103.172554, 98.36588, 104.03625, 89.43273, 97.74034, 106.4293]","[7.704224, 10.512283, 6.76528, 6.8809066, 7.343308, 5.0072403, 7.1958723, 7.403187, 5.804205]",0
440346.4306018925,4397531.829596691,"[20581, 20551, 20548, 20578, 20549, 20534, 20565, 20545, 20530]","[98.36588, 104.03625, 125.942116, 97.74034, 106.4293, 119.81416, 106.18921, 105.395546, 107.47478]","[7.343308, 5.0072403, 3.53399, 7.403187, 5.804205, 3.668241, 8.038443, 5.1120825, 4.0478396]",0
440346.9271131323,4397530.961566399,"[20581, 20551, 20548, 20578, 20549, 20534, 20565, 20545, 20530]","[98.36588, 104.03625, 125.942116, 97.74034, 106.4293, 119.81416, 106.18921, 105.395546, 107.47478]","[7.343308, 5.0072403, 3.53399, 7.403187, 5.804205, 3.668241, 8.038443, 5.1120825, 4.0478396]",0
440347.42362437205,4397530.093536106,"[20578, 20549, 20534, 20565, 20545, 20530, 20552, 20546, 20528]","[97.74034, 106.4293, 119.81416, 106.18921, 105.395546, 107.47478, 115.46335, 105.34089, 105.61099]","[7.403187, 5.804205, 3.668241, 8.038443, 5.1120825, 4.0478396, 6.63353, 4.188546, 5.043609]",0
440347.92013561184,4397529.225505814,"[20578, 20549, 20534, 20565, 20545, 20530, 20552, 20546, 20528]","[97.74034, 106.4293, 119.81416, 106.18921, 105.395546, 107.47478, 115.46335, 105.34089, 105.61099]","[7.403187, 5.804205, 3.668241, 8.038443, 5.1120825, 4.0478396, 6.63353, 4.188546, 5.043609]",0
440348.41664685163,4397528.357475521,"[20549, 20534, 20528, 20545, 20530, 20520, 20546, 20528, 20509]","[106.4293, 119.81416, 117.38742, 105.395546, 107.47478, 126.656105, 105.34089, 105.61099, 119.63838]","[5.804205, 3.668241, 3.3436074, 5.1120825, 4.0478396, 3.833115, 4.188546, 5.043609, 4.7682033]",0
440348.9131580914,4397527.489445228,"[20545, 20530, 20520, 20546, 20528, 20509, 20539, 20523, 20502]","[105.395546, 107.47478, 126.656105, 105.34089, 105.61099, 119.63838, 144.03949, 113.96249, 115.73473]","[5.1120825, 4.0478396, 3.833115, 4.188546, 5.043609, 4.7682033, 4.503315, 5.62484, 5.508601]",0
440349.40966933116,4397526.621414936,"[20545, 20530, 20520, 20546, 20528, 20509, 20539, 20523, 20502]","[105.395546, 107.47478, 126.656105, 105.34089, 105.61099, 119.63838, 144.03949, 113.96249, 115.73473]","[5.1120825, 4.0478396, 3.833115, 4.188546, 5.043609, 4.7682033, 4.503315, 5.62484, 5.508601]",0
440349.90618057095,4397525.753384643,"[20546, 20528, 20509, 20539, 20523, 20502, 20524, 20516, 20491]","[105.34089, 105.61099, 119.63838, 144.03949, 113.96249, 115.73473, 183.12213, 127.64762, 104.23728]","[4.188546, 5.043609, 4.7682033, 4.503315, 5.62484, 5.508601, 5.896505, 4.7379956, 4.938311]",0
440350.40269181074,4397524.885354351,"[20528, 20509, 20499, 20523, 20502, 20486, 20516, 20491, 20480]","[105.61099, 119.63838, 141.3402, 113.96249, 115.73473, 133.04749, 127.64762, 104.23728, 96.892426]","[5.043609, 4.7682033, 4.120193, 5.62484, 5.508601, 4.4501843, 4.7379956, 4.938311, 3.2788348]",0
440350.89920305053,4397524.017324058,"[20523, 20502, 20486, 20516, 20491, 20480, 20509, 20493, 20484]","[113.96249, 115.73473, 133.04749, 127.64762, 104.23728, 96.892426, 166.8796, 126.34746, 127.11686]","[5.62484, 5.508601, 4.4501843, 4.7379956, 4.938311, 3.2788348, 4.87855, 4.7021885, 3.319467]",0
