origin_x,origin_y,height,aspect,slope,curvature,label
440345.93409065274,4397532.697626984,20581,98.36588,7.343308,4.249954,0
440346.4306018925,4397531.829596691,20549,106.4293,5.804205,-2.999115,0
440346.9271131323,4397530.961566399,20549,106.4293,5.804205,-2.999115,0
440347.42362437205,4397530.093536106,20545,105.395546,5.1120825,-2.500534,0
440347.92013561184,4397529.225505814,20545,105.395546,5.1120825,-2.500534,0
440348.41664685163,4397528.357475521,20530,107.47478,4.0478396,-1.7494202,0
440348.9131580914,4397527.489445228,20528,105.61099,5.043609,0.99983215,0
440349.40966933116,4397526.621414936,20528,105.61099,5.043609,0.99983215,0
440349.90618057095,4397525.753384643,20523,113.96249,5.62484,1.7494202,0
440350.40269181074,4397524.885354351,20502,115.73473,5.508601,-0.2494812,0
440350.89920305053,4397524.017324058,20491,104.23728,4.938311,-6.7497253,0
440351.39571429027,4397523.149293765,20491,104.23728,4.938311,-6.7497253,0
440351.89222553006,4397522.281263473,20493,126.34746,4.7021885,2.9994965,0
440352.38873676985,4397521.4132331805,20484,127.11686,3.319467,5.499649,0
440352.88524800964,4397520.545202889,20484,127.11686,3.319467,5.499649,0
440353.3817592494,4397519.677172596,20464,141.41084,4.526132,-5.5000305,0
440353.87827048916,4397518.809142303,20464,141.41084,4.526132,-5.5000305,0
440354.37478172895,4397517.941112011,20446,112.724106,4.5328703,-1.7494202,0
440354.87129296875,4397517.073081718,20446,112.724106,4.5328703,-1.7494202,0
440355.3678042085,4397516.205051426,20443,96.1155,4.027015,-0.00076293945,0
440355.86431544827,4397515.337021133,20443,96.1155,4.027015,-0.00076293945,0
440356.36082668806,4397514.46899084,20426,94.398705,4.194621,-3.0002594,0
440356.85733792785,4397513.600960548,20426,82.43857,4.0751247,-3.7506104,0
440357.3538491676,4397512.732930255,20426,82.43857,4.0751247,-3.7506104,0
440357.8503604074,4397511.864899963,20434,87.563354,3.365298,5.749893,0
440358.34687164717,4397510.99686967,20419,79.47221,4.1087403,1.7501831,0
440358.84338288696,4397510.128839377,20420,97.43141,3.318698,1.9996643,0
440359.3398941267,4397509.260809085,20420,97.43141,3.318698,1.9996643,0
440359.8364053665,4397508.392778792,20420,97.43141,3.318698,1.9996643,0
440360.3329166063,4397507.5247484995,20404,88.36343,3.7561796,-1.750946,0
440360.82942784607,4397506.6567182075,20404,88.36343,3.7561796,-1.750946,0
440361.3259390858,4397505.788687915,20402,95.59934,3.6651106,-4.4994354,0
440361.8224503256,4397504.920657623,20402,95.59934,3.6651106,-4.4994354,0
440362.3189615654,4397504.05262733,20396,90.6296,3.2553866,2.7507782,0
440362.8154728052,4397503.184597037,20396,90.6296,3.2553866,2.7507782,0
440363.3119840449,4397502.316566745,20395,88.06941,3.1856012,2.4993896,0
440363.8084952847,4397501.448536452,20395,88.06941,3.1856012,2.4993896,0
440364.3050065245,4397500.58050616,20377,86.069824,4.6916356,-3.749466,0
440364.8015177643,4397499.712475867,20380,74.66672,4.594445,-1.7498016,0
440365.298029004,4397498.844445574,20380,74.66672,4.594445,-1.7498016,0
440365.7945402438,4397497.976415282,20389,70.615486,4.092901,2.7500153,0
440366.2910514836,4397497.108384989,20371,61.9755,5.0173697,-0.4989624,0
440366.7875627234,4397496.240354697,20379,53.24632,3.5264,-0.00076293945,0
440367.2840739631,4397495.372324404,20379,53.24632,3.5264,-0.00076293945,0
440367.7805852029,4397494.504294111,20379,53.24632,3.5264,-0.00076293945,0
440368.2770964427,4397493.636263819,20391,86.87787,3.9387243,20.25032,0
440368.7736076825,4397492.7682335265,20391,86.87787,3.9387243,20.25032,0
440369.2701189222,4397491.9002032345,20370,128.01894,4.987427,-0.25024414,0
440369.766630162,4397491.032172942,20370,128.01894,4.987427,-0.25024414,0
440370.2631414018,4397490.164142649,20346,83.54118,3.8144462,-4.4994354,0
440370.7596526416,4397489.296112357,20346,83.54118,3.8144462,-4.4994354,0
440371.25616388133,4397488.428082064,20346,83.54118,3.8144462,-4.4994354,0
440371.7526751211,4397487.560051772,20357,79.13594,3.6051106,6.7508698,0
440372.2491863609,4397486.692021479,20339,73.77981,4.09539,-1.0002136,0
440372.7456976007,4397485.823991186,20342,95.314545,3.089945,1.2500763,0
440373.24220884044,4397484.955960894,20342,95.314545,3.089945,1.2500763,0
440373.73872008023,4397484.087930601,20340,103.46521,2.6125531,1.4995575,0
440374.23523132,4397483.219900309,20327,95.559944,4.058839,-0.9994507,0
440374.7317425598,4397482.351870016,20327,95.559944,4.058839,-0.9994507,0
440375.22825379955,4397481.483839723,20327,84.0194,3.77514,-1.7494202,0
440375.72476503934,4397480.615809431,20327,84.0194,3.77514,-1.7494202,0
440376.22127627913,4397479.747779138,20312,90.0,3.6476698,-5.250168,0
440376.7177875189,4397478.879748846,20312,90.0,3.6476698,-5.250168,0
440377.21429875866,4397478.0117185535,20315,91.7357,3.5422835,0.49972534,0
440377.71080999845,4397477.143688261,20315,91.7357,3.5422835,0.49972534,0
440378.20732123824,4397476.275657969,20305,87.61406,3.4366026,1.7505646,0
440378.70383247803,4397475.407627676,20305,87.61406,3.4366026,1.7505646,0
440379.2003437178,4397474.539597384,20305,87.61406,3.4366026,1.7505646,0
440379.69685495755,4397473.671567091,20305,74.35775,3.7135038,-2.2499084,0
440380.19336619735,4397472.803536798,20292,78.48617,3.9406648,-0.0,0
440380.68987743714,4397471.935506506,20292,81.73283,4.226069,-4.249954,0
440381.1863886769,4397471.067476213,20292,81.73283,4.226069,-4.249954,0
440381.68289991666,4397470.199445921,20293,75.49983,4.28262,-7.0007324,0
440382.17941115645,4397469.331415628,20286,73.30076,3.7333667,1.5003204,0
440382.67592239624,4397468.463385335,20286,73.30076,3.7333667,1.5003204,0
440383.17243363603,4397467.595355043,20287,81.027374,4.125753,-1.7505646,0
440383.66894487577,4397466.72732475,20287,81.027374,4.125753,-1.7505646,0
440384.16545611556,4397465.859294457,20276,80.537674,4.3480916,1.2493134,0
440384.66196735535,4397464.991264165,20276,80.537674,4.3480916,1.2493134,0
440385.15847859514,4397464.1232338725,20274,85.66769,4.7296743,-4.2491913,0
440385.6549898349,4397463.2552035805,20274,85.66769,4.7296743,-4.2491913,0
440386.15150107467,4397462.387173288,20262,85.27201,4.7679367,1.9992828,0
440386.64801231446,4397461.519142995,20261,78.023865,4.8206687,-1.7498016,0
440387.14452355425,4397460.651112703,20261,78.023865,4.8206687,-1.7498016,0
440387.641034794,4397459.78308241,20262,82.40536,5.4029436,-5.5000305,0
440388.1375460338,4397458.915052118,20251,83.26399,4.5697494,2.7496338,0
440388.63405727356,4397458.047021825,20251,79.658356,4.9744287,0.99983215,0
440389.13056851336,4397457.178991532,20251,79.658356,4.9744287,0.99983215,0
440389.6270797531,4397456.31096124,20250,82.47618,5.724094,-6.25,0
440390.1235909929,4397455.442930947,20238,83.34557,4.3181353,2.0008087,0
440390.6201022327,4397454.574900655,20238,83.34557,4.3181353,2.0008087,0
440391.11661347246,4397453.706870362,20237,81.28527,4.950893,-1.2504578,0
440391.6131247122,4397452.838840069,20237,81.28527,4.950893,-1.2504578,0
440392.109635952,4397451.970809777,20223,85.94645,4.549671,-0.00038146973,0
440392.6061471918,4397451.102779484,20223,85.94645,4.549671,-0.00038146973,0
440393.10265843157,4397450.234749192,20223,79.99202,4.933166,-0.75035095,0
440393.5991696713,4397449.366718899,20223,79.99202,4.933166,-0.75035095,0
440394.0956809111,4397448.498688607,20208,82.49265,4.6491814,-0.49972534,0
440394.5921921509,4397447.630658315,20210,83.467865,4.7110987,0.00076293945,0
440395.0887033907,4397446.762628022,20210,83.467865,4.7110987,0.00076293945,0
440395.5852146304,4397445.89459773,20211,77.828545,5.5871243,-1.499939,0
440396.0817258702,4397445.026567437,20193,77.137245,4.6546464,-3.7506104,0
440396.57823711,4397444.158537144,20200,72.62108,4.9034758,1.5003204,0
440397.0747483498,4397443.290506852,20200,72.62108,4.9034758,1.5003204,0
440397.5712595895,4397442.422476559,20200,72.62108,4.9034758,1.5003204,0
440398.0677708293,4397441.554446267,20188,84.71876,4.271609,2.25029,0
